Alg, AlgTwo, Winner, Turns 
ExpectiMiniMax,Basic AI,WHITE,34
ExpectiMiniMax,Basic AI,WHITE,10
ExpectiMiniMax,Basic AI,WHITE,30
ExpectiMiniMax,Basic AI,WHITE,48
ExpectiMiniMax,Basic AI,WHITE,52
ExpectiMiniMax,QLPlayer,WHITE,18
ExpectiMiniMax,QLPlayer,WHITE,20
ExpectiMiniMax,QLPlayer,BLACK,21
ExpectiMiniMax,QLPlayer,WHITE,30
ExpectiMiniMax,QLPlayer,WHITE,12
ExpectiMiniMax,QLPlayer,WHITE,64
ExpectiMiniMax,QLPlayer,WHITE,16
ExpectiMiniMax,QLPlayer,WHITE,54
ExpectiMiniMax,QLPlayer,WHITE,18
ExpectiMiniMax,QLPlayer,WHITE,12
ExpectiMiniMax,QLPlayer,WHITE,14
ExpectiMiniMax,QLPlayer,WHITE,26
ExpectiMiniMax,QLPlayer,WHITE,12
QLPlayer,ExpectiMiniMax,BLACK,35
QLPlayer,ExpectiMiniMax,BLACK,19
QLPlayer,ExpectiMiniMax,BLACK,23
QLPlayer,ExpectiMiniMax,BLACK,17
QLPlayer,ExpectiMiniMax,BLACK,45
QLPlayer,ExpectiMiniMax,BLACK,55
QLPlayer,ExpectiMiniMax,BLACK,17
QLPlayer,ExpectiMiniMax,BLACK,17
QLPlayer,ExpectiMiniMax,BLACK,19
QLPlayer,ExpectiMiniMax,BLACK,15
QLPlayer,ExpectiMiniMax,WHITE,16
QLPlayer,ExpectiMiniMax,BLACK,19
QLPlayer,ExpectiMiniMax,BLACK,21
QLPlayer,ExpectiMiniMax,BLACK,23
QLPlayer,ExpectiMiniMax,BLACK,9
QLPlayer,ExpectiMiniMax,BLACK,41
QLPlayer,ExpectiMiniMax,BLACK,7
QLPlayer,ExpectiMiniMax,BLACK,9
QLPlayer,ExpectiMiniMax,BLACK,19
QLPlayer,ExpectiMiniMax,WHITE,32
